run_id,timestamp_utc,instrument,reference_gas_ppb,instrument_raw_ppb,ambient_temp_c,cell_temp_c,pressure_kpa,flow_sccm,zero_offset_ppb,span_factor,corrected_ppb,residual_ppb,status
CAL-260818-A,2026-08-18T13:00:00Z,NO2-17,0,1.8,22.1,39.8,99.4,498,1.7,1.012,0.1,0.1,zero_pass
CAL-260818-A,2026-08-18T13:05:00Z,NO2-17,25,26.4,22.2,39.9,99.4,501,1.7,1.012,25.0,0.0,span_point
CAL-260818-A,2026-08-18T13:10:00Z,NO2-17,50,51.1,22.3,40.0,99.3,500,1.7,1.012,50.0,0.0,span_point
CAL-260818-A,2026-08-18T13:15:00Z,NO2-17,100,100.2,22.4,40.0,99.3,499,1.7,1.012,99.7,-0.3,span_point
CAL-260818-A,2026-08-18T13:20:00Z,NO2-17,200,198.9,22.5,40.1,99.2,501,1.7,1.012,199.6,-0.4,span_point
CAL-260818-A,2026-08-18T13:25:00Z,NO2-17,50,51.3,22.5,40.1,99.2,500,1.7,1.012,50.2,0.2,repeat_pass
CAL-260818-B,2026-08-18T14:00:00Z,O3-08,0,-0.6,22.7,34.1,99.1,1002,-0.5,0.994,-0.1,-0.1,zero_pass
CAL-260818-B,2026-08-18T14:05:00Z,O3-08,40,39.7,22.7,34.2,99.1,998,-0.5,0.994,40.0,0.0,span_point
CAL-260818-B,2026-08-18T14:10:00Z,O3-08,80,79.1,22.8,34.2,99.0,1000,-0.5,0.994,80.0,0.0,span_point
CAL-260818-B,2026-08-18T14:15:00Z,O3-08,120,118.9,22.9,34.3,99.0,1001,-0.5,0.994,120.1,0.1,span_point
CAL-260818-B,2026-08-18T14:20:00Z,O3-08,160,158.5,23.0,34.4,98.9,999,-0.5,0.994,160.0,0.0,span_point
CAL-260818-B,2026-08-18T14:25:00Z,O3-08,80,79.0,23.0,34.4,98.9,1000,-0.5,0.994,79.9,-0.1,repeat_pass
CAL-260818-C,2026-08-18T15:00:00Z,SO2-04,0,2.9,23.1,43.8,98.8,602,2.7,1.021,0.2,0.2,zero_pass
CAL-260818-C,2026-08-18T15:05:00Z,SO2-04,20,22.4,23.2,43.9,98.8,600,2.7,1.021,20.1,0.1,span_point
CAL-260818-C,2026-08-18T15:10:00Z,SO2-04,60,61.3,23.3,44.0,98.8,601,2.7,1.021,59.8,-0.2,span_point
CAL-260818-C,2026-08-18T15:15:00Z,SO2-04,120,119.2,23.3,44.0,98.7,599,2.7,1.021,119.0,-1.0,review
CAL-260818-C,2026-08-18T15:20:00Z,SO2-04,180,176.1,23.4,44.1,98.7,600,2.7,1.021,177.0,-3.0,span_fail
CAL-260818-C,2026-08-18T15:25:00Z,SO2-04,60,60.5,23.4,44.1,98.7,601,2.7,1.021,59.0,-1.0,repeat_review
CAL-260819-A,2026-08-19T12:30:00Z,CO-11,0,0.018,21.6,41.2,100.1,802,0.016,1.004,0.002,0.002,zero_pass
CAL-260819-A,2026-08-19T12:35:00Z,CO-11,500,498.1,21.7,41.2,100.1,799,0.016,1.004,500.1,0.1,span_point
CAL-260819-A,2026-08-19T12:40:00Z,CO-11,1000,994.5,21.8,41.3,100.0,801,0.016,1.004,998.5,-1.5,span_point
CAL-260819-A,2026-08-19T12:45:00Z,CO-11,2000,1987.0,21.8,41.3,100.0,800,0.016,1.004,1994.9,-5.1,span_point
CAL-260819-A,2026-08-19T12:50:00Z,CO-11,4000,3970.2,21.9,41.4,99.9,801,0.016,1.004,3986.1,-13.9,review
CAL-260819-A,2026-08-19T12:55:00Z,CO-11,1000,996.0,21.9,41.4,99.9,800,0.016,1.004,1000.0,0.0,repeat_pass
