sample_id,harvest_date,block,row,tree,cultivar,picker_team,sample_size,avg_mass_g,firmness_n,brix_pct,starch_index,skin_color_score,bruise_pct,sunburn_pct,internal_defect_pct,storage_destination,grade,inspector_notes
OH-001,2026-09-03,N1,03,T018,Honeycrisp,P-A,24,214.7,73.2,13.8,4.2,3,4.2,0.0,0.0,CA-room-2,premium,good size uniformity; two stem punctures excluded
OH-002,2026-09-03,N1,07,T041,Honeycrisp,P-A,24,205.1,71.8,14.2,4.7,4,8.3,0.0,0.0,CA-room-2,standard,bruise cluster associated with overfilled picking bag
OH-003,2026-09-03,N2,02,T009,Honeycrisp,P-B,20,221.5,75.4,13.1,3.9,3,0.0,5.0,0.0,short-term-cooler,premium,slight southwest sunburn on one fruit
OH-004,2026-09-03,N2,11,T062,Honeycrisp,P-B,20,198.4,70.6,14.6,5.1,4,5.0,0.0,0.0,CA-room-2,standard,maturity slightly advanced relative to block median
OH-005,2026-09-04,E1,04,T023,Gala,P-C,30,176.2,68.9,15.1,6.2,4,3.3,0.0,0.0,CA-room-1,premium,color coverage above contract threshold
OH-006,2026-09-04,E1,12,T071,Gala,P-C,30,169.8,67.5,15.7,6.6,5,6.7,0.0,0.0,CA-room-1,standard,softest subgroup from upper canopy
OH-007,2026-09-04,E2,06,T035,Gala,P-D,30,182.6,69.7,14.9,5.8,4,0.0,3.3,0.0,CA-room-1,premium,minor sun exposure; otherwise clean
OH-008,2026-09-04,E2,15,T088,Gala,P-D,30,174.1,66.8,16.0,6.9,5,10.0,0.0,0.0,processing-hold,utility,bruise rate exceeded fresh-market action level
OH-009,2026-09-05,S1,05,T029,McIntosh,P-E,25,161.3,61.4,12.6,5.4,3,4.0,0.0,0.0,short-term-cooler,standard,rain previous evening; surface fully dry at sample
OH-010,2026-09-05,S1,14,T079,McIntosh,P-E,25,158.9,59.8,13.0,5.9,4,8.0,0.0,4.0,processing-hold,utility,one internal browning defect on cut test
OH-011,2026-09-05,S2,08,T044,McIntosh,P-F,25,166.7,62.2,12.2,5.1,3,0.0,4.0,0.0,short-term-cooler,premium,firmness consistent across sample
OH-012,2026-09-05,S2,17,T097,McIntosh,P-F,25,154.4,58.7,13.4,6.3,4,12.0,0.0,0.0,processing-hold,utility,handling review requested for team F
OH-013,2026-09-07,W1,03,T016,Ambrosia,P-G,24,192.8,72.5,14.4,4.1,4,0.0,0.0,0.0,CA-room-3,premium,balanced maturity indicators
OH-014,2026-09-07,W1,10,T058,Ambrosia,P-G,24,201.6,70.9,15.0,4.8,5,4.2,0.0,0.0,CA-room-3,premium,large fruit; no pressure bruises
OH-015,2026-09-07,W2,01,T006,Ambrosia,P-H,24,187.3,73.8,13.9,3.7,3,0.0,8.3,0.0,short-term-cooler,standard,sunburn concentrated on exposed west side
OH-016,2026-09-07,W2,13,T076,Ambrosia,P-H,24,195.5,71.1,14.7,4.5,4,8.3,4.2,0.0,CA-room-3,standard,two pressure marks likely bin-transfer related
OH-017,2026-09-09,C1,06,T033,Cortland,P-A,25,178.4,64.3,12.9,5.0,4,4.0,0.0,0.0,short-term-cooler,premium,sample pulled before midday temperature rise
OH-018,2026-09-09,C1,16,T091,Cortland,P-A,25,184.9,62.6,13.5,5.8,4,8.0,0.0,0.0,processing-hold,standard,bruise rate near action threshold
OH-019,2026-09-09,C2,04,T021,Cortland,P-B,25,173.1,65.0,12.4,4.6,3,0.0,4.0,0.0,short-term-cooler,premium,one mild sunburn fruit retained in count
OH-020,2026-09-09,C2,12,T069,Cortland,P-B,25,169.7,61.9,13.7,6.0,4,12.0,0.0,0.0,processing-hold,utility,picker retraining noted after inspection
OH-021,2026-09-11,R1,02,T011,Northern Spy,P-C,20,232.8,78.4,11.8,2.9,2,0.0,0.0,0.0,late-storage,premium,still early; reserved for extended storage trial
OH-022,2026-09-11,R1,09,T052,Northern Spy,P-C,20,225.6,76.9,12.1,3.2,3,5.0,0.0,0.0,late-storage,standard,one compression bruise
OH-023,2026-09-11,R2,05,T027,Northern Spy,P-D,20,239.1,79.2,11.5,2.7,2,0.0,5.0,0.0,late-storage,premium,firm and immature as expected
OH-024,2026-09-11,R2,14,T083,Northern Spy,P-D,20,228.3,75.7,12.4,3.4,3,10.0,0.0,0.0,short-term-cooler,standard,bruise rate elevated during bin changeover
OH-025,2026-09-13,N3,04,T024,Honeycrisp,P-E,24,218.9,69.4,15.2,5.6,5,4.2,0.0,0.0,CA-room-2,premium,later pick; high color and soluble solids
OH-026,2026-09-13,N3,12,T067,Honeycrisp,P-E,24,210.2,67.8,15.9,6.1,5,8.3,0.0,4.2,processing-hold,standard,one bitter-pit suspect fruit isolated
OH-027,2026-09-13,N4,08,T046,Honeycrisp,P-F,24,224.6,70.1,14.8,5.2,4,0.0,4.2,0.0,CA-room-2,premium,clean handling sample
OH-028,2026-09-13,N4,18,T103,Honeycrisp,P-F,24,216.0,66.5,16.3,6.5,5,12.5,0.0,0.0,processing-hold,utility,maturity advanced and bruising high; divert from long storage
